start-time,end-time,duration,rtt,proto,sip,sp,dip,dp,iflags,uflags,riflags,ruflags,isn,risn,tag,rtag,pkt,oct,rpkt,roct,app,entropy,rentropy,end-reason
2021-09-01 16:08:53.972,2021-09-01 16:08:53.996,0.024,0.000,6,192.168.50.130,43060,192.168.50.237,8080,S,APSF,AS,APSF,e34bbb3a,d0d1b612,000,000,12,1126,9,1676,80,173,181,
2021-09-01 16:08:53.999,2021-09-01 16:08:54.021,0.022,0.000,6,192.168.50.130,43062,192.168.50.237,8080,S,APSF,AS,APSF,5d20e166,b0598a68,000,000,16,1542,15,10558,80,183,137,
2021-09-01 16:08:44.979,2021-09-01 16:09:00.890,15.911,0.000,6,192.168.60.181,61497,192.168.60.205,139,S,APSF,AS,APSF,9c8ad370,e80c6bc8,000,000,23,2950,20,3404,139,113,129,
2021-09-01 16:08:44.985,2021-09-01 16:09:00.890,15.905,0.000,6,192.168.60.181,61498,192.168.60.205,139,S,APSF,AS,APSF,3c3fcc34,7863dc1e,000,000,25,3022,24,3670,139,145,135,
2021-09-01 16:08:44.992,2021-09-01 16:09:00.891,15.899,0.000,6,192.168.60.181,61499,192.168.60.205,139,S,APSF,AS,APSF,3b741128,6452442c,000,000,27,9320,22,2702,139,241,163,
2021-09-01 16:09:01.348,2021-09-01 16:09:01.348,0.000,0.000,6,192.168.60.159,59862,192.168.60.149,8002,S,S,AR,0,909e4ce4,00000000,000,000,2,104,1,40,0,0,0,
2021-09-01 16:09:01.348,2021-09-01 16:09:01.348,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59862,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:09:01.229,2021-09-01 16:09:01.535,0.306,0.000,6,192.168.50.130,48394,192.168.50.1,443,S,APF,AS,APF,30470def,4c9e59f4,000,000,8,1093,8,2516,443,230,248,
2021-09-01 16:09:01.848,2021-09-01 16:09:01.848,0.000,0.000,6,192.168.60.159,59862,192.168.60.149,8002,S,S,AR,0,909e4ce4,00000000,000,000,2,104,1,40,0,0,0,
2021-09-01 16:09:01.848,2021-09-01 16:09:01.848,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59862,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
