flow_id,stime_ms,src_ip,dst_ip,protocol,src_port,dst_port,application,vlan,protocol_name
4049821877,1631290496488,192.168.60.191,192.168.60.205,6,61795,135,0,0,TCP
3758252460,1631290497232,192.168.50.50,192.168.50.101,6,57346,443,0,0,TCP
2215797172,1631290499066,192.168.50.125,192.168.50.50,6,33810,443,0,0,TCP
3767427320,1631290500944,192.168.50.130,192.168.50.106,6,57486,80,0,0,TCP
3276366010,1631290507411,192.168.60.111,192.168.60.205,6,49993,88,0,0,TCP
3276300639,1631290507407,192.168.60.111,192.168.60.205,6,49992,445,0,0,TCP
2977849672,1631290510036,192.168.50.129,192.168.50.50,6,45438,443,0,0,TCP
4049904177,1631290516488,192.168.60.191,192.168.60.205,6,61796,49667,0,0,TCP
3803078657,1631290526751,192.168.50.123,192.168.50.106,6,58030,80,0,0,TCP
3130286196,1631290533025,192.168.50.133,192.168.50.225,6,47764,80,0,0,TCP
3130286196,1631290533081,192.168.50.133,192.168.50.225,6,47764,80,0,0,TCP
2216190388,1631290535641,192.168.50.125,192.168.50.50,6,33816,443,0,0,TCP
2604556439,1631290539248,192.168.50.126,192.168.50.249,6,39742,80,0,0,TCP
594719476,1631290539550,192.168.51.22,35.186.224.25,6,49248,443,0,0,TCP
1625144671,1631290539549,192.168.51.22,96.17.238.89,6,49252,80,0,0,TCP
3551551695,1631290548572,192.168.50.50,192.168.50.237,6,54192,80,0,0,TCP
3749863901,1631290549222,192.168.50.50,192.168.50.20,6,57218,443,0,0,TCP
3575931026,1631290549679,192.168.50.123,192.168.50.249,6,54564,80,0,0,TCP
2158125206,1631290565897,192.168.50.126,192.168.50.248,6,32930,80,0,0,TCP
2460377338,1631290570517,192.168.50.128,192.168.50.106,6,37542,80,0,0,TCP
3382862298,1631290577452,192.168.50.50,192.168.50.19,6,51618,443,0,0,TCP
3391381611,1631290583907,192.168.50.131,192.168.50.248,6,51748,80,0,0,TCP
3415236862,1631290585077,192.168.50.132,192.168.50.106,6,52112,80,0,0,TCP
3432013939,1631290591707,192.168.50.130,192.168.50.225,6,52368,80,0,0,TCP
3432013939,1631290591760,192.168.50.130,192.168.50.225,6,52368,80,0,0,TCP
3130679412,1631290595656,192.168.50.133,192.168.50.225,6,47770,80,0,0,TCP
3130679412,1631290595704,192.168.50.133,192.168.50.225,6,47770,80,0,0,TCP
2978242888,1631290605091,192.168.50.129,192.168.50.50,6,45444,443,0,0,TCP
2916639176,1631290605303,192.168.50.50,192.168.50.1,6,44504,443,0,0,TCP
3145752964,1631290609959,192.168.50.126,192.168.50.1,6,48000,443,0,0,TCP
986131023,1631290492625,192.168.50.50,8.8.8.8,17,62054,53,0,0,UDP
2383030863,1631290492626,192.168.50.50,8.8.8.8,17,18091,53,0,0,UDP
1080500408,1631290492641,192.168.50.50,10.113.0.200,17,35519,514,0,0,UDP
1054616143,1631290492699,192.168.50.50,8.8.8.8,17,63101,53,0,0,UDP
4255918671,1631290492699,192.168.50.50,8.8.8.8,17,13581,53,0,0,UDP
3528206260,1631290492719,192.168.51.205,192.33.4.12,17,53956,53,0,0,UDP
1392257559,1631290493277,192.168.50.106,8.8.8.8,17,39517,53,0,0,UDP
3543840681,1631290493519,192.168.51.205,192.36.148.17,17,54199,53,0,0,UDP
3262324390,1631290493861,192.168.60.183,192.168.50.100,17,49778,53,0,0,UDP
3322873788,1631290494316,192.168.51.205,192.112.36.4,17,50902,53,0,0,UDP
2631417148,1631290494586,192.168.50.45,172.16.31.100,17,61537,53,0,0,UDP
3894025894,1631290494840,192.168.60.183,192.168.50.100,17,59419,53,0,0,UDP
3734318449,1631290495120,192.168.51.205,199.9.14.201,17,55605,53,0,0,UDP
1529817679,1631290495645,192.168.50.50,8.8.8.8,17,37774,53,0,0,UDP
4134414927,1631290495645,192.168.50.50,8.8.8.8,17,16079,53,0,0,UDP
1475684943,1631290495874,192.168.50.50,8.8.8.8,17,40788,53,0,0,UDP
3584961103,1631290495874,192.168.50.50,8.8.8.8,17,7439,53,0,0,UDP
3646238009,1631290495917,192.168.51.205,193.0.14.129,17,55548,53,0,0,UDP
401877583,1631290496524,192.168.50.50,8.8.8.8,17,57173,53,0,0,UDP
1887840847,1631290496524,192.168.50.50,8.8.8.8,17,47143,53,0,0,UDP
2710936973,1631290496719,192.168.51.205,198.97.190.53,17,42845,53,0,0,UDP
3294967961,1631290497519,192.168.51.205,202.12.27.33,17,52928,53,0,0,UDP
1799825943,1631290498283,192.168.50.106,8.8.8.8,17,41958,53,0,0,UDP
31992343,1631290498285,192.168.50.106,8.8.8.8,17,51529,53,0,0,UDP
